,0
0,SOAKIMP12A8C130995
1,SOBBMDR12A8C13253B
2,SOBXHDL12A81C204C0
3,SOBYHAJ12A6701BF1D
4,SODACBL12A8C13C273
5,SODDNQT12A6D4F5F7E
6,SODXRTY12AB0180F3B
7,SOFGUAY12AB017B0A8
8,SOFRQTD12A81C233C0
9,SOHQWYZ12A6D4FA701
10,SOIYTOA12A6D4F9A23
11,SOIZAZL12A6701C53B
12,SOJNNUA12A8AE48C7A
13,SOJPFQG12A58A7833A
14,SOKRIMP12A6D4F5DA3
15,SOLLGNU12AF72A4D4F
16,SOMGIYR12AB0187973
17,SOMLMKI12A81C204BC
18,SOMSQJY12A8C138539
19,SONSAEZ12A8C138D7A
20,SOOKGRB12A8C13CD66
21,SOPCVQE12AC468AF36
22,SOQIVUD12AB01821D2
23,SOQJLDY12AAF3B456D
24,SOQLCKR12A81C22440
25,SORPMYJ12AF729EB90
26,SORQHCG12A58A7EEBA
27,SORUFVF12AB018230B
28,SORWLTW12A670208FA
29,SORZASF12A6D4F8CFA
30,SOSYBEV12AB0182933
31,SOTFATN12A6D4FA74D
32,SOTLVCL12AB0182D22
33,SOTRSFZ12A8C142BF6
34,SOUKXIN12A8C133C7F
35,SOVHRGF12A8C13852F
36,SOVQEYZ12A8C1379D8
37,SOVYIYI12A8C138D88
38,SOWQLXP12AF72A08A2
39,SOWSPUS12AC468BEE3
40,SOXMIUS12A8C13CD59
41,SOXRXDG12A8C131DE5
42,SOXZQDE12A8C135833
43,SOYHEPA12A8C13097F
44,SOZOBWN12A8C130999
45,SODJTHN12AF72A8FCD
46,SOBDRND12A8C13FD08
47,SOCHBAJ12AAF3B3A4F
48,SOCZTMT12AF72A078E
49,SOHRQZQ12A6D4F81D2
50,SOJGMYY12AB01809BE
51,SOQFEDG12AB018DD24
52,SOVRZIX12AAF3B2A32
53,SOZMJFG12AB017BDAF
54,SOJQOIK12AF72A0AAF
55,SOVHVBJ12A58A7AB0A
56,SOABRAB12A6D4F7AAF
57,SOAOQFD12A6D4FAAA9
58,SOBFPJC12A58A7D1AB
59,SOBZZDU12A6310D8A3
60,SODCNJX12A6D4F93CB
61,SOERVXG12A6D4F5583
62,SOFXZAW12A67ADC90E
63,SOGFUFC12A8C13F1E5
64,SOLVRLL12A67020D7F
65,SONQEYS12AF72AABC9
66,SONZWDK12A6701F62B
67,SOOCUXJ12A6D4F6FB7
68,SOPKPFW12A6D4F84BC
69,SOPXRQT12A6701EAC9
70,SOQBMFK12A8C13835B
71,SORPHNV12A6701CD63
72,SOUFPNI12A8C142D19
73,SOXHIDK12A58A7CFB3
74,SOXIIIM12A6D4F66C8
75,SODGVGW12AC9075A8D
76,SOEPZQS12A8C1436C7
77,SOGDDKR12A6701E8FA
78,SOGEKGR12A6D4F81E8
79,SOJNQZO12AF72AAE32
80,SOKOXWU12AF72AD1BC
81,SOMNTMT12A8C1400F6
82,SOUSQCN12A8C133302
83,SOVEUVC12A6310EAF1
84,SOWEHOM12A6BD4E09E
85,SOWGXOP12A6701E93A
86,SOWPAXV12A67ADA046
87,SOXGQEM12AB0181D35
88,SOAUWYT12A81C206F1
89,SOAXGDH12A8C13F8A1
90,SOBFMHC12A6D4F9401
91,SOBONKR12A58A7A7E0
92,SOBTRCD12A6701E976
93,SODEOCO12A6701E922
94,SODJWHY12A8C142CCE
95,SOEGIYH12A6D4FC0E3
96,SOEKGDE12AB0182795
97,SOIICEQ12A6D4F7FE0
98,SOIRRMU12A6D4FB0C0
99,SOJFYRR12AB017BF2A
100,SOJWVKE12A6D4F3392
101,SOLFXKT12AB017E3E0
102,SONYKOW12AB01849C9
103,SORMKFZ12A6D4F9395
104,SOSXLTC12AF72A7F54
105,SOTWNDJ12A8C143984
106,SOUSMXX12AB0185C24
107,SOUVTSM12AC468F6A7
108,SOVDSJC12A58A7A271
109,SOVVENS12A8C144DB5
110,SOWCKVR12A8C142411
111,SOWUVFQ12AB018740E
112,SOAUBGU12A6701C57A
113,SOCLQES12A58A7BB1D
114,SOCVTLJ12A6310F0FD
115,SOEWTBE12A58A7E7C2
116,SOICNON12A8C140437
117,SOKLRPJ12A8C13C3FE
118,SOMRYYN12A6310F0F3
119,SOOWPBJ12A8C137FB4
120,SOPXKYD12A6D4FA876
121,SOUKJBT12A6701C4D6
122,SOZBZFF12A6310F12D
123,SOIKDCZ12A67ADD8DB
124,SOIYHAZ12A6D4F6D30
125,SOLRGVL12A8C143BC3
126,SOTXRZC12AB018165A
127,SOVFDZD12A6D4F8EAE
128,SOZAUIY12AB017B6A0
129,SOAFTRR12AF72A8D4D
130,SOALEQA12A58A77839
131,SOATNYF12AF72A8D48
132,SOBDKVR12A8C13E705
133,SOBDMNP12AF72AB1E1
134,SOBDWET12A6701F114
135,SOBIQWH12A8C13BCDE
136,SOBJIZY12A6701F11A
137,SODAQMD12A8C131D57
138,SODMASJ12AF729E6FA
139,SOEWYLX12A6D4F8E5F
140,SOFNCRW12A6D4F727B
141,SOFWANS12AF72A12E6
142,SOGTMYT12A6D4F98D9
143,SOHCLPF12AB017FD26
144,SOHDSVJ12A6D4F93FF
145,SOHZUAA12A6701F116
146,SOIDSDT12A6D4F98DB
147,SOIJLDG12A8C135B96
148,SOIMCDE12A6D4F8383
149,SOKIKWC12A6D4F98D8
150,SOKJQGO12AF72ACA9F
151,SOKQMNB12A6D4F74FD
152,SOLJSEJ12A8C132F61
153,SOLQYOG12B0B80BA71
154,SOLXDDC12A6701FBFD
155,SOMGVYU12A8C1314FF
156,SOMNXML12A6D4F8386
157,SONJBQX12A6D4F8382
158,SONKFWL12A6D4F93FE
159,SONQBUB12A6D4F8ED0
160,SONSOPT12A6D4F9405
161,SONZUTP12AF72AACC9
162,SOOBNUD12A6701F2F8
163,SOOSADY12A6701F119
164,SOPLAHV12A8C13D110
165,SOQPCVN12AF729FB85
166,SOQXKUV12A6D4FB4C9
167,SOSJTOL12A6D4FB4CD
168,SOSOXJK12A8AE47120
169,SOSSZCB12A8C1384EF
170,SOTHRRH12A8C13DCBA
171,SOTIEEP12A6701C779
172,SOTJQZN12AF72AA288
173,SOTSVKB12A8C139EF0
174,SOUBKFT12A6701F07A
175,SOUGAYN12A6D4F6E90
176,SOUGCDK12AC95F075F
177,SOVLCEQ12A6D4F74FF
178,SOVLJHG12A81C21AA0
179,SOVMCAR12AF72A1268
180,SOVPBLT12A6D4F5113
181,SOVRQIK12A6701F118
182,SOWEBRA12A6701F115
183,SOWUTFF12A8C138AB2
184,SOXFTSF12A6D4F7278
185,SOXGQCN12A8C1384FA
186,SOXSDRE12A6D4F8B3A
187,SOYSWHI12AAA8C5BFD
188,SOYUOVK12AB0185549
189,SOZJPFX12A6D4F7280
190,SOZMNAX12A58A77F88
191,SOZPQES12A6D4F8E57
192,SOAARXR12A8C133D15
193,SOACPBY12A8C13FEF9
194,SOAKHOF12A8C13C72A
195,SOAVIJW12AB018269B
196,SOBDVAK12AC90759A2
197,SOBGMYK12A6D4F6730
198,SOBIMTY12A6D4F931F
199,SOBKRVG12A8C133269
200,SOBUBLL12A58A795A8
201,SOBVKFF12A8C137A79
202,SOCHAXM12AB01876F8
203,SOCJQTG12AC9097645
204,SOCMEJM12AF72A48D0
205,SOCREPA12A67ADD15E
206,SOCRMJF12A81C22362
207,SODLRPF12AC909761A
208,SODOZXB12A8C13CD55
209,SODUANR12A6D4F5036
210,SOEBPXF12A8C14295A
211,SOEGZHD12A8C13BF3D
212,SOELOOM12AB017DB4C
213,SOEMAIM12AC90759AC
214,SOEOJHS12AB017F3DC
215,SOEQLJP12AB018FBC5
216,SOETRNC12A6D4F8653
217,SOFKYDZ12AB017F425
218,SOFMFXK12A8C13C658
219,SOFPCZP12A8C136B4F
220,SOFVHLF12A8C140E48
221,SOFWLRF12AB017F405
222,SOFXJCS12A58A7DF02
223,SOGDZSB12AB017CC29
224,SOGIDSA12A8C142829
225,SOGKGXY12A8C134E30
226,SOGKHRQ12AF72A4231
227,SOGKZXO12A8C13E3EE
228,SOGUPIJ12A8C13AEA1
229,SOGVQTZ12A6D4FB490
230,SOGWKKA12A6702162E
231,SOHHSYJ12AB017F40A
232,SOHJSRO12A8C13D385
233,SOHNVHC12A6D4F95AB
234,SOHQTKJ12A8AE46A88
235,SOHTKMO12AB01843B0
236,SOHWXHK12A6701D7B9
237,SOHXSEH12A67020A2D
238,SOIQKPT12A8C140753
239,SOIRBTN12A8C13C97B
240,SOIUHFO12A67AD954B
241,SOIWPAX12AB0181918
242,SOIYNJG12AB01810B2
243,SOJITNW12A8C13D951
244,SOJOZTM12A8C140618
245,SOJPFPR12AB018109D
246,SOJTZGN12AB017F006
247,SOJVPDY12AF72A1B04
248,SOJXYTP12A67ADD1B2
249,SOKFNBL12AF72A1A41
250,SOKITWQ12A6D4FC8AD
251,SOKRACG12A8C1438AC
252,SOKZTMC12A8AE48549
253,SOLHEHV12A8C13ECB2
254,SOMGPML12A8C13AE8C
255,SOMQSYG12A6D4FA671
256,SOMQURX12AB01886F8
257,SOMUXVE12A6D4F6EAB
258,SONDCOR12A8C13BA16
259,SONLCTW12A58A7BB70
260,SONMBPQ12A6D4F95A3
261,SONMERX12AF72A6002
262,SONMWXV12AB01803B4
263,SONSQGU12AF72A2EDA
264,SONXCYX12AB0184785
265,SOOAVGC12AB01821EC
266,SOORTEQ12A6D4FA1D0
267,SOOXRJG12A8C13773E
268,SOPXWLG12A8C13E75D
269,SOPZBNV12AB0187D8B
270,SOQZKFH12AC90719F4
271,SORJRHI12A6D4FEF5C
272,SORVBEQ12A8C133D6B
273,SORYCIK12AB018535E
274,SOSNESF12A8C143097
275,SOSROSD12A8C13F519
276,SOTSRUQ12A81C22359
277,SOUNZHU12A8AE47481
278,SOUOPLF12AB017F40F
279,SOVCHUK12AB017F41F
280,SOVGEYY12A58A7D2B6
281,SOVPXOH12AB0180112
282,SOVRGXP12AB017D2B9
283,SOVYNZA12A8C13C378
284,SOVZOBS12A67ADAFC6
285,SOWVNWB12A8C133171
286,SOXJLLK12A8C139E3D
287,SOXNGDE12AB018C7A4
288,SOYCZLK12A6D4FA7B4
289,SOYDTIW12A67ADAFC9
290,SOYGYFN12A8C137FA9
291,SOYJPNY12AB01869CC
292,SOYOHMP12A6D4F6244
293,SOZISSK12A3F1EAD88
294,SOZRLJL12A8C14415F
295,SOADQPP12A67020C82
296,SOANQFY12AB0183239
297,SOAYATB12A6701FD50
298,SOBOAFP12A8C131F36
299,SOCAHRT12A8C13A1A4
300,SODASIJ12A6D4F5D89
301,SODEAWL12AB0187032
302,SODLLYS12A8C13A96B
303,SODUGQV12AF72A6803
304,SOEQJBS12A8AE475A4
305,SOFRCGW12A81C21EA6
306,SOGJQBU12A6D4FA8EC
307,SOGTQNI12AB0184A5C
308,SOHFGKG12A6701C429
309,SOISNSU12AC468C0D8
310,SOJTLHS12A8C13F633
311,SOKUPAO12AB018D576
312,SOLECYL12A58A7BF88
313,SOLUHHS12A58A81A6B
314,SONHLJN12A81C2169B
315,SONHWUN12AC468C014
316,SONOYIB12A81C1F88C
317,SOOJJCT12A6310E1C0
318,SOOROCA12AF72A07D1
319,SOPIEIJ12A6D4F8F81
320,SOPSOHT12A67AE0235
321,SOPTLQL12AB018D56F
322,SOPWZGK12A67020744
323,SOSTLBB12A8C13E3DB
324,SOSZNRJ12A8AE46E38
325,SOTFJGS12AB017F577
326,SOTTNZU12A6D4FA237
327,SOTWSXL12A8C143349
328,SOUDLVN12AAFF43658
329,SOULTKQ12AB018A183
330,SOVAEBJ12A58A7A364
331,SOVXBOT12A8C136816
332,SOVZHYS12A8C14663F
333,SOWWNDT12A8AE49A4C
334,SOXBZEQ12A8C14307F
335,SOXNZOW12AB017F756
336,SOZCBPN12A8C14136F
337,SOZVCRW12A67ADA0B7
338,SOAIILB12A58A776F7
339,SOAJJDS12A8C13A3FB
340,SOAKDHD12A6310F1AE
341,SOAMDXO12A8C131E2F
342,SOAMPRJ12A8AE45F38
343,SOAOBEK12AF72A9021
344,SOAOFBI12A8C143E28
345,SOAPIHX12AB0184CB1
346,SOAQTNT12A6701F957
347,SOARBUV12A6310F1B2
348,SOAUIZJ12A6D4FC011
349,SOAUXEN12A81C23960
350,SOAWSML12A6310F1B7
351,SOAXKNC12AF72A4BF8
352,SOBDQMB12AB0189045
353,SOBGPHU12A8C1424E3
354,SOBJBIZ12A8C132861
355,SOBMSCQ12AAF3B51B7
356,SOBNPLZ12A81C2394C
357,SOBOJJB12A58A7D1AD
358,SOBTNNG12AF72A73E8
359,SOBZCTQ12AB0183220
360,SOBZETO12AB018C7FE
361,SOCAFDI12A8C13D10E
362,SOCAQPK12AB018AA3F
363,SOCBNIS12AF72AB9D3
364,SOCEWVG12A8C13DCC2
365,SOCFPSZ12A6D4FCA89
366,SOCHPFL12AF72A3F64
367,SOCJCVE12A8C13CDDB
368,SOCJHXN12AB0188C8B
369,SOCKYCG12A58A78E37
370,SOCNCFO12A8C13971C
371,SOCOVEJ12A6D4FC90E
372,SOCQOKM12AB018C7F8
373,SOCQQSU12AB0185BF4
374,SOCSHHV12A8AE45F45
375,SOCSZDA12A6D4F6663
376,SOCXGVX12A67AD85A1
377,SODACQU12A67AE0C88
378,SODBCUG12A67AE0927
379,SODBMSF12A8C135DFD
380,SODEAJC12A58A7769F
381,SODEYDM12A58A77072
382,SODLVZS12A8C131B2D
383,SODOWQF12A81C2371B
384,SODPSYG12A8C145EBF
385,SODQKXS12A8C135DF7
386,SODRLEQ12A6701F953
387,SODSESK12A81C2178C
388,SODTJFU12B0B80C9BE
389,SODWVWI12A81C21791
390,SODXNRQ12A8151B860
391,SODZLWJ12AF729FB85
392,SOEAVMU12AB017E234
393,SOEBCBI12AF72A154F
394,SOECUDG12A8C13337F
395,SOEDGBE12A670211D3
396,SOEGAZP12A8BED7496
397,SOEHMKZ12A58A7DF45
398,SOEHZQB12A6702016D
399,SOELGCG12AB0188C92
400,SOESGCP12A58A7AF7B
401,SOESJHB12A8C13F5A5
402,SOETHKN12AF72A65A6
403,SOETSTN12A81C219A9
404,SOEUTXF12A6D4FC6F8
405,SOEWATI12A8C13D029
406,SOEWWIU12A8C141309
407,SOEXEMS12AB0186160
408,SOEYDSK12A6D4FC6CE
409,SOEYKXB12A8C1346BC
410,SOFBOXR12A6310F0FC
411,SOFCQQC12A8C135E0C
412,SOFFGTH12A67AE0925
413,SOFGTCQ12AB01812C8
414,SOFJMYJ12A6D4F8E59
415,SOFKTPP12A8C1385CA
416,SOFPZCI12A58A7CF79
417,SOFSPAT12A8C145F53
418,SOFTTSD12A81C219CC
419,SOFWUWJ12A6D4F991E
420,SOFYSDB12A8C131AF6
421,SOGCBQL12A67ADE302
422,SOGECRB12AB018C9AB
423,SOGERWW12AB01858A2
424,SOGFQWV12A8C135DF1
425,SOGIEOU12A8C134815
426,SOGJPMB12A8C13A9DB
427,SOGKTON12A6D4FC6E3
428,SOGLBQA12A6701E7AF
429,SOGOMCI12AB0188C6C
430,SOGPMUO12A6D4F6D31
431,SOGQUQG12A8C143005
432,SOGUBKQ12A8C135DEC
433,SOGXGKK12AB0184CD6
434,SOGZHXG12AF72A0EE8
435,SOGZQHS12A8C137A12
436,SOHAHTQ12AB017AA32
437,SOHBJHX12AF72A79F1
438,SOHBURV12A8C13B628
439,SOHFLHO12A8C135E05
440,SOHIDCT12AB018C98E
441,SOHLOTX12A6701FF2D
442,SOHOTAA12A8AE45F43
443,SOHVWPV12A8C135C5B
444,SOHWBGO12A6D4FA87A
445,SOHWFUW12A8C13ECCA
446,SOHXQWR12AF72AB9CD
447,SOHYWRK12A8C13D117
448,SOIEBOJ12A8C1379FC
449,SOIFAGN12A6D4F7B29
450,SOIJPQV12A6701F959
451,SOIJTAV12AB01825CA
452,SOIMREX12A6D4F99FE
453,SOIOBLC12AF72A3A7C
454,SOIPFNK12A8C139007
455,SOIQUSV12A8C13A402
456,SOIVBNO12A58A75411
457,SOIVKUR12A6310F0FF
458,SOIWBJU12A6701CBE7
459,SOIYMFH12A8C14059B
460,SOIZRER12A8C137A26
461,SOJAAYY12A8C13E631
462,SOJDPNR12A8C13C7AE
463,SOJEMSC12A6D4F81A6
464,SOJERWB12A8C13E654
465,SOJHCOH12A8AE45F4F
466,SOJHKGH12A58A804C8
467,SOJHVZZ12A58A75BBE
468,SOJKAWG12A81C21781
469,SOJTIXE12AB018C99E
470,SOJUBSU12AF729FEC1
471,SOJWDVX12A8C144C92
472,SOJXCUO12AB0180F5C
473,SOKEMEF12A6D4F9403
474,SOKHHVK12A8AE48182
475,SOKPECC12A8C144E4A
476,SOKRDBG12A81C2179B
477,SOKTJMZ12AB018C9A0
478,SOKTJXL12A8C13C90B
479,SOKUMNA12A8C131B4B
480,SOKVSAH12A8C133C6D
481,SOKVTGU12A6701E7B1
482,SOKVYTI12A8C13B5DC
483,SOKYBEO12A81C23957
484,SOKYRPO12A8C135E20
485,SOKYVWL12A67AE0922
486,SOKZVPM12A8C135A81
487,SOLARJV12AB018306B
488,SOLAUOW12A8C13A400
489,SOLGIFI12A8C135DE3
490,SOLGWFD12B0B807B28
491,SOLJHUB12A58A78151
492,SOLJWIQ12A6D4FA875
493,SOLLDVS12AB0183835
494,SOLNMFP12A8C13B616
495,SOLPDGD12A6701F951
496,SOLQRCE12A6D4F8381
497,SOLSCUX12A8C13D10B
498,SOLVCOL12A8C13B9EB
499,SOLVHIW12A8C13BA03
500,SOLVMWL12AAF3B537C
501,SOLVMXY12A8C131E36
502,SOLWNAA12A8C13B605
503,SOLWRQM12AB0184C86
504,SOMBCVG12A8C13A261
505,SOMFVZQ12A81C219E4
506,SOMHMQW12A8C14098B
507,SOMJFPG12A58A7DD95
508,SOMLQYU12A6D4F858F
509,SOMMONH12A6D4F41CD
510,SOMNABG12AB018C811
511,SOMPOYU12A8C131B00
512,SOMRTUH12AB0185650
513,SOMSNCG12A8AE475A7
514,SOMTTXF12A8C1428A9
515,SOMUCFP12A6701F28E
516,SOMVMVF12AB018C9A6
517,SOMVPBQ12A58A7835F
518,SOMVTRL12A67AE0921
519,SOMXLAN12AB0184EBB
520,SOMZVGZ12A8C140EFF
521,SONEWOI12AAF3B3602
522,SONEYTB12AF72A73F0
523,SONEYYW12AF72A2AA6
524,SONGIXY12A58A7BB42
525,SONIMNU12B0B8092AB
526,SONJNEQ12A6D4F9EB6
527,SONMKLO12AB017B593
528,SONQSBF12AF72ABB86
529,SONREBX12A8C142DBA
530,SONTNHB12A8C1391D6
531,SONVRTN12A8C1385C2
532,SONZSVJ12A67AE0924
533,SOOCICG12A8AE49309
534,SOOCVAY12A6D4F8385
535,SOODXFF12A8C13A21C
536,SOOHDXT12AB0181797
537,SOOIMYS12A8C135E18
538,SOONKAK12A8C140357
539,SOOPRQI12A8C135DF9
540,SOOQZMA12A6D4F9922
541,SOOSJIV12AF729E09E
542,SOOVFYS12A81C23135
543,SOOZPLQ12A6701D220
544,SOPAETP12A8C131E3B
545,SOPBXPQ12AB01887E2
546,SOPEGMI12AF72AA77F
547,SOPJJFS12A8C131AE6
548,SOPJULC12A6D4F667F
549,SOPMDSY12AF72A0C6F
550,SOPOCCO12A58A7ADED
551,SOPODKB12AB01820CC
552,SOPOFBW12AB0187196
553,SOPPHBW12AB018C800
554,SOPPPWN12A8C135DCD
555,SOPQGWI12A8C135DDB
556,SOPQQNK12A8C13BF46
557,SOPRATO12A8C132851
558,SOPRHFU12A8C13A256
559,SOPRVKW12A6D4FD57B
560,SOPTLTT12A58A7938D
561,SOPUUQJ12AF72A5748
562,SOPYIJT12B0B80BA6D
563,SOQACEU12A58A78E0D
564,SOQAJHW12AB0186004
565,SOQAQYN12A58A7B08D
566,SOQEFWR12A8C137A34
567,SOQHHBY12A8C13336B
568,SOQIHFL12A58A79480
569,SOQISNQ12A8AE45F4C
570,SOQJKGN12A8C1425B5
571,SOQJLWB12A6701E7B3
572,SOQLDTI12AB018C80A
573,SOQMRTC12A8C13B091
574,SOQNPEO12AB018780D
575,SOQOXDM12A8C137FB0
576,SOQRHIX12A6701F955
577,SOQSPDJ12A58A7EC6E
578,SOQTCHH12A6D4F5AAD
579,SOQTPLM12B0B809575
580,SOQUQOK12A8AE47F95
581,SOQWSHS12A6701C576
582,SOQZBYZ12A6701E7B0
583,SORAQKI12A8C135DE9
584,SORBYRY12A8C139616
585,SORDUSQ12A6D4F5D47
586,SOREBOB12A6D4F7986
587,SORFFOI12A8C135E10
588,SORGOJJ12A6D4F8597
589,SORHJAS12AB0187D3F
590,SORIFLJ12A81C23948
591,SORJOVT12AB018C4B4
592,SORKDWS12A6701E6D9
593,SORKVID12A6D4FC6D2
594,SORKZFB12A6D4FCABC
595,SORQVPO12AF72A690C
596,SORRCNC12A8C13FDA9
597,SORVYXQ12AB018C994
